@relation segment-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute region-pixel-count numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
0.146245,0.741667,0,0,0,0.034221,0.000224,0.13913,0.024034,0.202686,0.192058,0.233431,0.180046,0.728516,0.323877,0.404175,0.233431,0.271208,0.168389,path
0.094862,0.783333,0,0,0,0.038023,0.000612,0.023603,0.000334,0.122128,0.095624,0.118557,0.151208,0.640626,0.13948,0.785578,0.142857,0.393002,0.970415,grass
0.189723,0.533333,0,0,0,0.005703,0.000078,0.007453,0.000064,0.003098,0,0.008836,0,0.84961,0.156028,0.555977,0.008836,0.777778,0.160731,foliage
0.245059,0.870833,0,0,0,0.104563,0.01539,0.081988,0.004392,0.057062,0.047812,0.04271,0.08106,0.78711,0.072104,0.751423,0.076583,0.486717,0.869391,grass
0.632411,0.516667,0,0,0,0.001901,0.000137,0.002484,0.000124,0.008779,0.005673,0.019882,0,0.847656,0.183215,0.514231,0.019882,1,0.206794,window
0.924901,0.320833,0,0,0,0.020913,0.000243,0.021118,0.000238,0.019365,0.003241,0.04271,0.010132,0.75,0.244681,0.510436,0.04271,0.938492,0.131092,foliage
0.26087,0.0875,0,0,0,0.032319,0.001072,0.039752,0.000946,0.879939,0.839546,0.94256,0.851125,0.28711,0.638298,0.328273,0.94256,0.190625,0.120226,sky
0.73913,0.7125,0,0,0,0.055133,0.000749,0.093168,0.001534,0.404339,0.378444,0.480117,0.348401,0.550782,0.588652,0.151803,0.480117,0.314281,0.17813,path
0.853755,0.975,0,0.333333,0.5,0.108365,0.003042,0.048447,0.000896,0.067906,0.054295,0.047128,0.102884,0.751953,0.043735,0.831119,0.097202,0.572767,0.865381,grass
0.031621,0.666667,0,0,0,0.051331,0.001014,0.062112,0.001184,0.320166,0.299028,0.379234,0.277474,0.613281,0.48818,0.252372,0.379234,0.307943,0.174893,path
0.58498,0.441667,0,0.666667,0,0.028517,0.000258,0.02236,0.000321,0.147948,0.153971,0.174521,0.113795,0.867188,0.29078,0.322581,0.174521,0.382629,0.248718,brickface
0.533597,0.533333,0,0,0,0.022814,0.000179,0.017391,0.00015,0.037181,0.047812,0.04271,0.021044,0.9375,0.163121,0.459203,0.045655,0.566799,0.345101,brickface
0.841897,0.283333,0,0,0,0.043726,0.00087,0.029814,0.000385,0.033824,0.014587,0.061119,0.023383,0.722656,0.267139,0.500949,0.061119,0.791667,0.127803,foliage
0.462451,0.475,0,0,0,0.011407,0.000301,0.019876,0.000248,0.008004,0,0.020619,0.002338,0.8125,0.190307,0.537002,0.020619,1,0.146982,foliage
0.324111,0.175,0,0,0,0.019011,0.000459,0.016149,0.000354,0.860573,0.819285,0.916051,0.840217,0.28711,0.59929,0.390892,0.916051,0.187217,0.110154,sky
0.272727,0.1125,0,0,0,0.041825,0.000274,0.02236,0.000548,0.404339,0.364668,0.492636,0.348401,0.451172,0.648936,0.151803,0.492636,0.336015,0.163422,cement
0.375494,0.304167,0,0,0,0.051331,0.001288,0.036025,0.001648,0.16628,0.171799,0.198822,0.126266,0.857422,0.323877,0.278937,0.198822,0.398791,0.24459,brickface
0.592885,0.491667,0,0,0,0.275666,0.00821,0.016149,0.000597,0.223342,0.200973,0.272459,0.192517,0.63672,0.417257,0.343453,0.272459,0.338407,0.163371,cement
0.383399,0.554167,0,0,0,0.007605,0.00003,0.007453,0.000064,0.006971,0,0.019882,0,0.820313,0.191489,0.527514,0.019882,1,0.160731,foliage
0.573123,0.5375,0,0,0,0.036122,0.000467,0.02236,0.000417,0.044152,0.057537,0.048601,0.0265,0.955078,0.159574,0.447818,0.054492,0.537017,0.361292,brickface
0.636364,0.941667,0,0.333333,0,0.077947,0.001153,0.059627,0.00185,0.092177,0.079417,0.066274,0.131722,0.75,0.024823,0.863378,0.124448,0.472826,0.852,grass
0.608696,0.066667,0,0,0,0.036122,0.000243,0.032298,0.000182,0.958695,0.966779,0.971284,0.936081,0.611328,0.416076,0.370019,0.971284,0.098472,0.151877,sky
0.324111,0.779167,0,0,0,0.081749,0.001509,0.108075,0.002171,0.416733,0.387358,0.490427,0.366328,0.521485,0.581561,0.19165,0.490427,0.296314,0.168149,path
0.367589,0.3875,0,0,0,0.226236,0.001433,0.02236,0.000372,0.388589,0.356564,0.460972,0.342166,0.511718,0.568557,0.222011,0.460972,0.303071,0.162239,cement
0.865613,0.416667,0,0,0,0.087453,0.001669,0.050932,0.001152,0.206301,0.185575,0.253313,0.176149,0.654298,0.403073,0.349147,0.253313,0.349325,0.165754,cement
0.616601,0.308333,0,0,0,0.041825,0.001252,0.004969,0.000124,0.131939,0.106159,0.178203,0.10756,0.642579,0.381797,0.394686,0.178203,0.459024,0.149476,window
0.067194,0.558333,0,0,0,0.013308,0.000019,0.013665,0.00027,0.027369,0.040519,0.02651,0.015588,0.958984,0.130024,0.491461,0.036819,0.600529,0.418547,brickface
0.371542,0.75,0,0,0.5,0.108365,0.00281,0.134162,0.00374,0.420089,0.382496,0.505154,0.365548,0.460939,0.637116,0.161291,0.505154,0.320865,0.163566,path
0.438735,0.1125,0,0,0,0.378329,0.011167,0.024845,0.00077,0.450556,0.424636,0.519882,0.401402,0.535157,0.568557,0.199241,0.519882,0.271659,0.170137,cement
0.810277,0.508333,0,0,0,0.001901,0.000137,0.001242,0.000098,0.002582,0,0.007364,0,0.853516,0.1513,0.559772,0.007364,1,0.160731,window
0.873518,0.558333,0,0,0,0,0,0,0,0,0,0,0,0.873047,0.12766,0.578747,0,0,0.515167,window
0.853755,0.820833,0,0,0,0.085551,0.002185,0.059627,0.001763,0.112058,0.092383,0.095729,0.14809,0.69336,0.07565,0.836812,0.139911,0.40213,0.906246,grass
0.743083,0.733333,0,0,0,0.041825,0.001012,0.068323,0.001723,0.33824,0.321718,0.396907,0.291504,0.640626,0.490544,0.222011,0.396907,0.305755,0.185596,path
0.873518,0.341667,0,0,0,0.058935,0.000063,0.003727,0.000024,0.017041,0.007293,0.036082,0.006235,0.796875,0.223404,0.499051,0.036082,0.878395,0.164003,window
0.379447,0.495833,0,0,0,0.024715,0.000512,0.023603,0.000494,0.040795,0.053485,0.045655,0.023383,0.951172,0.160756,0.449715,0.05081,0.570106,0.35219,brickface
0.079051,0.220833,0,0,0,0.557035,0.013057,0.452174,0.012716,0.216112,0.179903,0.251841,0.212782,0.539063,0.351064,0.544592,0.251841,0.400746,0.076215,foliage
0.375494,0.758333,0,0,0,0.045627,0.001125,0.040994,0.001332,0.43713,0.399514,0.522091,0.382696,0.455078,0.640662,0.161291,0.522091,0.310288,0.162332,path
0.158103,0.579167,0,0,0,0.060837,0.001957,0.048447,0.001082,0.144591,0.118314,0.193667,0.117693,0.634765,0.398345,0.375711,0.193667,0.441573,0.153881,cement
0.604743,0.454167,0,0,0,0.015209,0.00003,0.009938,0.000085,0.04157,0.056726,0.044919,0.023383,0.96875,0.153664,0.444023,0.051546,0.569444,0.37633,brickface
0.537549,0.229167,0,0,0,0.089354,0.003066,0.065838,0.002802,0.198038,0.184765,0.253313,0.151987,0.710938,0.440898,0.233397,0.253313,0.430558,0.202939,brickface
0.177866,0.945833,0,0,0,0.036122,0.000835,0.048447,0.001315,0.092435,0.070503,0.083947,0.122369,0.683594,0.108747,0.793169,0.115611,0.445509,0.939636,grass
1,0.616667,0,0,0,0.121673,0.007604,0.331676,0.110147,0.255358,0.228525,0.306332,0.226811,0.59375,0.433806,0.358634,0.306332,0.294845,0.123083,path
0.687747,0.0125,0,0,0,0.030418,0.000814,0.027329,0.000562,0.793446,0.730146,0.875551,0.766169,0.150391,0.711584,0.343453,0.875551,0.24216,0.110519,sky
0.956522,0.154167,0,0,0,0.041825,0.000209,0.028571,0.000911,0.940102,0.930312,0.968334,0.918158,0.488281,0.486998,0.375711,0.968334,0.126968,0.129588,sky
0.87747,0.683333,0,0,0,0.129278,0.003151,0.160249,0.003382,0.403307,0.370341,0.482327,0.350739,0.500001,0.604019,0.17647,0.482327,0.312834,0.166663,path
0.992095,0.6875,0,0,0.5,0.064639,0.001158,0.113044,0.002059,0.368966,0.337925,0.444035,0.318783,0.525391,0.576832,0.195447,0.444035,0.32042,0.167968,path
0.731225,0.8625,0,0,0,0.039924,0.000751,0.026087,0.000473,0.095533,0.077796,0.083947,0.124707,0.712891,0.094563,0.787475,0.11782,0.401347,0.918389,grass
0.418972,0.041667,0,0,0,0.022814,0.000521,0.026087,0.000294,0.883815,0.844411,0.940354,0.860483,0.292969,0.609929,0.368122,0.940354,0.184022,0.114029,sky
0.328063,0.166667,0,0,0,0.060837,0.001643,0.059627,0.000641,0.179448,0.165316,0.232695,0.136398,0.710938,0.426714,0.256167,0.232695,0.446118,0.198194,brickface
