@relation shuttle

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute label {1,2,3,4,5,6,7}

@data
-0.535,-0.0214,-0.125,0.014,-0.308,0.0256,-0.0196,0.287,0.215,2
-0.434,-0.0257,0.109,0.014,-0.397,0.0275,0.098,0.429,0.325,4
-0.475,-0.0257,-0.0469,0.014,-0.231,0.0252,0.00654,0.23,0.151,1
-0.798,-0.0257,-0.141,0.014,-0.308,0.0269,0.15,0.287,0.17,1
-0.798,-0.0257,-0.0938,0.014,-0.288,0.0237,0.19,0.281,0.151,1
0.172,-0.0257,0.0469,0.013,-0.378,0.0257,-0.333,0.4,0.402,5
-0.414,-0.0257,-0.0625,0.014,-0.41,0.0264,-0.0458,0.409,0.344,4
-0.434,-0.0259,0.156,0.0133,-0.224,0.0253,0.15,0.265,0.151,1
-0.475,-0.0241,-0.125,0.014,-0.308,0.0256,-0.0719,0.287,0.222,4
-0.798,-0.0257,0.25,0.0122,-0.308,0.0256,0.464,0.368,0.17,1
-0.798,-0.0257,-0.109,0.0135,-0.359,0.0256,0.176,0.342,0.222,1
-0.636,-0.0257,-0.0156,0.014,-0.25,0.0271,0.124,0.252,0.145,1
-0.778,-0.0253,-0.125,0.014,-0.276,0.0261,0.137,0.255,0.145,1
-0.798,-0.0257,-0.109,0.014,-0.404,0.026,0.163,0.393,0.273,1
-0.717,-0.0257,0.234,0.014,-0.276,0.025,0.399,0.329,0.151,1
-0.717,-0.0257,0.0625,0.0143,-0.276,0.0244,0.255,0.294,0.151,1
-0.596,-0.0257,0,0.0135,-0.25,0.0253,0.124,0.258,0.145,1
-0.556,-0.0257,-0.0938,0.014,-0.25,0.0252,0.0196,0.236,0.151,1
-0.556,-0.0251,-0.0469,0.014,-0.237,0.0259,0.0588,0.239,0.145,1
-0.798,-0.0899,0.313,0.0135,-0.282,0.0253,0.516,0.355,0.145,1
-0.657,-0.0251,-0.125,0.014,-0.256,0.0258,0.0588,0.239,0.145,1
0.596,-0.0253,0.359,0.014,-0.173,0.0256,-0.359,0.255,0.26,5
-0.798,-0.0267,-0.141,0.014,-0.308,0.0256,0.15,0.287,0.17,1
-0.556,-0.0257,0.234,0.014,-0.237,0.027,0.307,0.297,0.145,1
-0.636,-0.0259,0.0313,0.0135,-0.256,0.0253,0.19,0.271,0.145,1
-0.798,-0.0249,-0.0781,0.014,-0.404,0.0256,0.19,0.4,0.273,1
-0.434,-0.0259,0.203,0.014,-0.231,0.0262,0.176,0.281,0.158,4
-0.434,-0.0257,0.0156,0.0161,-0.224,0.0256,0.0327,0.236,0.145,1
-0.434,-0.0251,0.0469,0.0148,-0.224,0.0256,0.0458,0.239,0.151,1
-0.798,-0.0257,-0.172,0.014,-0.314,0.0255,0.124,0.287,0.177,1
-0.798,-0.0257,0.328,0.014,-0.282,0.0258,0.516,0.355,0.151,1
-0.556,-0.0257,0.344,0.014,-0.25,0.0244,0.386,0.326,0.151,1
0.0505,-0.0247,-0.0313,0.014,-0.545,0.0256,-0.32,0.551,0.55,5
-0.515,-0.0257,-0.0938,0.014,-0.231,0.0278,-0.00654,0.22,0.145,1
-0.354,-0.0249,-0.0156,0.014,-0.205,0.0274,-0.0458,0.21,0.145,1
-0.798,-0.0257,0.359,0.014,-0.301,0.024,0.556,0.38,0.164,1
-0.414,-0.0251,0.188,0.014,-0.25,0.0263,0.163,0.297,0.177,4
-0.758,-0.0247,-0.125,0.014,-0.276,0.0256,0.111,0.255,0.145,1
-0.515,-0.0267,-0.0625,0.014,-0.231,0.0256,0.0196,0.23,0.145,1
-0.556,-0.0257,-0.125,0.014,-0.25,0.0249,0.00654,0.233,0.151,1
-0.616,-0.0253,-0.125,0.014,-0.256,0.0242,0.0458,0.242,0.151,1
-0.414,-0.0257,-0.0625,0.014,-0.218,0.0256,-0.0588,0.21,0.145,1
-0.414,-0.0257,-0.0938,0.014,-0.346,0.0258,-0.0719,0.335,0.273,4
-0.798,-0.0257,0.313,0.014,-0.288,0.0259,0.516,0.361,0.158,1
-0.0101,-0.0257,-0.0625,0.0135,-0.526,0.0266,-0.307,0.525,0.524,5
-0.414,-0.0257,-0.0781,0.014,-0.218,0.0261,-0.0588,0.207,0.145,1
-0.717,-0.0253,-0.141,0.014,-0.263,0.0264,0.085,0.246,0.145,1
-0.717,-0.0255,0,0.014,-0.276,0.0256,0.203,0.281,0.151,1
-0.414,-0.0265,0.188,0.014,-0.231,0.0255,0.163,0.278,0.158,4
-0.556,-0.0257,0.156,0.0143,-0.237,0.0258,0.229,0.281,0.145,1
-0.798,-0.0253,-0.141,0.014,-0.282,0.0256,0.124,0.258,0.151,1
-0.414,-0.0255,0.219,0.014,-0.237,0.0268,0.176,0.291,0.17,4
